794,"Kissee Mills","MO",139.65036520,73.41609884
824,"Loma Mar","CA",48.69788572,130.53935410
603,"Sandy Hook","CT",72.33748014,148.24007690
478,"Tipton","IN",33.54792701,97.94286036
619,"Arlington","CO",75.17993079,92.94615894
711,"Turner","AR",50.24380534,101.45801630
839,"Slidell","LA",85.32270304,151.87432760
411,"Negreet","LA",98.97071940,105.33761150
588,"Glencoe","KY",46.38739244,136.04270270
665,"Chelsea","IA",98.72210937,59.68913002
342,"Chignik Lagoon","AK",103.19952640,153.00842730
733,"Pelahatchie","MS",38.58161595,28.11950703
441,"Hanna City","IL",50.98932987,136.78110100
811,"Dorrance","KS",102.08883160,121.56143720
698,"Albany","CA",49.75112765,80.21211317
325,"Monument","KS",70.52300953,141.76804130
414,"Manchester","MD",73.51580724,37.14602869
113,"Prescott","IA",39.93234421,65.79327823
971,"Graettinger","IA",94.66283665,150.38262430
266,"Cahone","CO",116.23219630,127.00955400
617,"Sturgis","MS",36.45673517,126.16906960
495,"Upperco","MD",114.21574130,29.63104758
473,"Highwood","IL",27.25445814,150.92274020
959,"Waipahu","HI",106.44605260,33.91451792
438,"Bowdon","GA",88.98111013,78.49025241
571,"Tyler","MN",133.35212330,58.63273833
92,"Watkins","CO",83.27433063,96.73732305
399,"Republic","MI",75.42182000,130.12667170
426,"Millville","CA",32.55838209,145.74346090
844,"Aguanga","CA",79.89165657,65.93959251
321,"Bowdon Junction","GA",85.93174158,33.60098321
606,"Morenci","AZ",104.89642620,110.20339780
957,"South El Monte","CA",74.04958346,79.64381732
833,"Hoskinston","KY",65.75153490,65.67937265
843,"Talbert","KY",39.85947921,58.84999769
166,"Mccomb","MS",74.04169376,42.63374681
339,"Kirk","CO",141.09739700,136.33126710
909,"Carlock","IL",117.32096110,84.80244659
829,"Seward","IL",72.41930917,90.20890209
766,"Gustine","CA",111.08755960,140.83386170
392,"Delano","CA",126.34679980,91.50161746
555,"Westphalia","MI",32.76641637,143.80500850
33,"Saint Elmo","AL",27.34698627,50.57950365
728,"Roy","MT",41.31187761,51.56467929
656,"Pattonsburg","MO",138.10033400,32.10804024
394,"Centertown","MO",133.97335130,93.17246374
366,"Norvell","MI",125.34315670,93.75245864
96,"Raymondville","MO",70.68239168,148.44440840
867,"Beaver Island","MI",81.88447769,164.87604770
977,"Odin","IL",53.48858773,115.79343630
741,"Jemison","AL",62.10307108,25.71260581
436,"West Hills","CA",68.43035344,73.09541905
323,"Barrigada","GU",60.60716473,147.52961250
3,"Hesperia","CA",106.05692860,71.11876711
814,"Wickliffe","KY",80.29965735,46.12993489
375,"Culdesac","ID",47.84182680,78.06551236
467,"Roselawn","IN",87.70708169,51.74506986
604,"Forest Lakes","AZ",144.84287730,114.29411670
551,"San Simeon","CA",37.53287288,28.34167204
706,"Little Rock","AR",122.23681910,121.15271770
647,"Portland","AR",83.92116818,44.80555694
25,"New Century","KS",135.01652730,79.27370780
250,"Hampden","MA",76.39074308,26.48368838
124,"Pine City","MN",119.46177920,129.36547090
547,"Sandborn","IN",55.94680767,93.85315475
701,"Seaton","IL",128.22879550,78.43005628
197,"Milledgeville","IL",90.98811028,113.27485040
613,"East China","MI",108.68681780,42.48111300
630,"Prince Frederick","MD",104.82772510,57.72409824
767,"Pomona Park","FL",100.52119130,163.34974910
679,"Gretna","LA",75.26293787,142.57622850
896,"Yazoo City","MS",95.00896271,85.22465037
403,"Zionsville","IN",57.79181464,36.49386600
519,"Rio Oso","CA",29.39052378,105.82209920
482,"Jolon","CA",66.65054378,52.95528769
252,"Childs","MD",92.75943510,104.01554750
600,"Shreveport","LA",136.23101590,38.50207291
14,"Forest","MS",120.28307600,50.22883356
260,"Sizerock","KY",116.02125920,112.74719710
65,"Buffalo Creek","CO",47.66145958,148.18673000
753,"Algonac","MI",118.73980380,80.14671114
174,"Onaway","MI",108.60658700,55.75945692
263,"Irvington","IL",96.70474244,68.28719181
253,"Winsted","MN",68.82384939,72.51511422
557,"Woodbury","GA",102.54723860,93.37553932
897,"Samantha","AL",75.22358450,35.94479192
98,"Hackleburg","AL",119.56071050,120.62448190
423,"Soldier","KS",77.30051697,152.60194390
361,"Arrowsmith","IL",28.00318693,109.33951010
409,"Columbus","GA",67.33892289,46.61622653
312,"Bentonville","AR",36.95284720,78.06843628
854,"Kirkland","AZ",86.41004231,57.99523843
160,"Grosse Pointe","MI",102.04716020,91.37131122
735,"Wilton","ME",56.57944083,157.19062050
608,"Busby","MT",104.08944720,29.83035109
122,"Robertsdale","AL",97.72136890,85.37475510
93,"Dale","IN",69.59335022,34.41552119
67,"Reeds","MO",30.78888129,42.50211311
906,"Hayfork","CA",35.29719590,116.66981470
34,"Mcbrides","MI",74.05708403,35.68248542
921,"Lee Center","IL",95.79113784,77.13059157
401,"Tennessee","IL",55.49838117,155.64559920
536,"Henderson","IA",77.92417249,77.90662876
953,"Udall","KS",112.68447990,59.95863388
370,"Palm Desert","CA",106.81224010,145.75560100
614,"Benedict","KS",138.49904560,95.71978969
998,"Oakfield","ME",47.65762321,132.21188170
805,"Tamms","IL",59.86766645,75.05164447
235,"Haubstadt","IN",27.98898068,32.08170842
820,"Chokio","MN",81.36073326,134.23211300
650,"Clancy","MT",45.82996854,164.37867500
791,"Scotts Valley","CA",119.93470430,90.95201996
324,"Norwood","MN",144.48915040,34.88529336
